Id_Cam_Seguretat,Codi_Cam_Seguretat,Tipus_Cam_Seguretat,Num_Cam_Seguretat,Codi_Suport,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,X_ETRS89,Y_ETRS89,Longitud,Latitud,Data_Alta
417378,DOMO,Càmera mòbil,7,Mastil,3,Sants-Montjuïc,13,la Marina de Port,428233480,4578671556,2.1420347,41.3563502,2000-01-01T00:00:00Z
417385,DOMO,Càmera mòbil,111,Mastil,3,Sants-Montjuïc,14,la Font de la Guatlla,428281887,4580172416,2.1424359,41.3698717,2003-05-22T00:00:00Z
417387,CIM,Càmera mòbil,40,Mastil,3,Sants-Montjuïc,11,el Poble Sec,428914560,4580737558,2.149934,41.3750186,2000-01-01T00:00:00Z
417388,CIF,Càmera fixa,41,Mastil,3,Sants-Montjuïc,11,el Poble Sec,428914560,4580737558,2.149934,41.3750186,2000-01-01T00:00:00Z
417393,DOMO,Càmera mòbil,110,Mastil,3,Sants-Montjuïc,11,el Poble Sec,429464719,4580743626,2.1565116,41.3751213,2000-01-01T00:00:00Z
417395,CIM,Càmera mòbil,87,Mastil,2,Eixample,10,Sant Antoni,429168369,4581039866,2.1529334,41.3777635,2000-01-01T00:00:00Z
417400,CIM,Càmera mòbil,86,Mastil,2,Eixample,9,la Nova Esquerra de l'Eixample,428790508,4581275691,2.1483874,41.3798542,2000-01-01T00:00:00Z
417403,CIM,Càmera mòbil,85,Mastil,2,Eixample,9,la Nova Esquerra de l'Eixample,428684133,4581536520,2.1470847,41.382194,2003-05-22T00:00:00Z
417408,CIM,Càmera mòbil,81,Mastil,3,Sants-Montjuïc,15,Hostafrancs,428329109,4581345169,2.1428618,41.3804385,2000-01-01T00:00:00Z
417410,CIF,Càmera fixa,115,Mastil,3,Sants-Montjuïc,15,Hostafrancs,428329109,4581345169,2.1428618,41.3804385,2000-01-01T00:00:00Z
417424,CIM,Càmera mòbil,88,Mastil,5,Sarrià-Sant Gervasi,26,Sant Gervasi-Galvany,428416192,4582695658,2.1437436,41.3926101,2000-01-01T00:00:00Z
417426,DOMO,Càmera mòbil,93,ColumnaAuxiliar,2,Eixample,8,l'Antiga Esquerra de l'Eixample,428901834,4582840405,2.149535,41.3939567,2000-01-01T00:00:00Z
417428,CIM,Càmera mòbil,76,Mastil,5,Sarrià-Sant Gervasi,26,Sant Gervasi-Galvany,428908252,4583068222,2.149585,41.3960092,2000-01-01T00:00:00Z
417430,CIF,Càmera fixa,119,Mastil,5,Sarrià-Sant Gervasi,26,Sant Gervasi-Galvany,428729224,4583644732,2.1473759,41.4011861,2000-01-01T00:00:00Z
417431,CIM,Càmera mòbil,39,Mastil,5,Sarrià-Sant Gervasi,26,Sant Gervasi-Galvany,428729224,4583644732,2.1473759,41.4011861,2000-01-01T00:00:00Z
417433,DOMO,Càmera mòbil,37,Mastil,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,428175611,4584021145,2.140709,41.4045265,2000-01-01T00:00:00Z
417434,CIF,Càmera fixa,127,Mastil,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,428175611,4584021145,2.140709,41.4045265,2000-01-01T00:00:00Z
417437,CIM,Càmera mòbil,75,Mastil,5,Sarrià-Sant Gervasi,25,Sant Gervasi-la Bonanova,427954827,4583827699,2.1380909,41.4027648,2000-01-01T00:00:00Z
