"idClienteEprinsa","AñoMes","Identificador","NumLámparasTotal","NumLámparasMercurio","NumLámparasHalogenuros","NumLámparasFluorescentes","NumLámparasSodio","NumLámparasLED","NumLámparasOtros","Tipo","Dirección","Descripción","CoordenadaX","CoordenadaY"
"1009","202406","NDA.ENE.007.1813911","955","0","917","0","0","38","0","Halogenuros","Calle Fuente Obejuna, 42","Puntos de luz - BELMEZ  - idSig: 1813911","307508","4238186"
"1009","202406","NDA.ENE.007.1814174","955","0","917","0","0","38","0","Halogenuros","Calle Cuesta Paseo, 6","Puntos de luz - BELMEZ  - idSig: 1814174","306688","4237968"
"1009","202406","NDA.ENE.007.1814831","955","0","917","0","0","38","0","Halogenuros","Calle Lagares, 4","Puntos de luz - BELMEZ  - idSig: 1814831","307304","4231697"
"1009","202406","NDA.ENE.007.1813920","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1813920","306744","4237835"
"1009","202406","NDA.ENE.007.1814554","955","0","917","0","0","38","0","Halogenuros","Calle Real {Doña Rama}, 31","Puntos de luz - BELMEZ  - idSig: 1814554","300946","4232860"
"1009","202406","NDA.ENE.007.1814629","955","0","917","0","0","38","0","Halogenuros","Calle Perchel, 14","Puntos de luz - BELMEZ  - idSig: 1814629","299453","4235770"
"1009","202406","NDA.ENE.007.1814147","955","0","917","0","0","38","0","Halogenuros","Calle Córdoba, 7","Puntos de luz - BELMEZ  - idSig: 1814147","306813","4238316"
"1009","202406","NDA.ENE.007.1814343","955","0","917","0","0","38","0","Halogenuros","Calle Córdoba, 53","Puntos de luz - BELMEZ  - idSig: 1814343","307005","4238175"
"1009","202406","NDA.ENE.007.1814421","955","0","917","0","0","38","0","Halogenuros","Plaza Andalucía, 5","Puntos de luz - BELMEZ  - idSig: 1814421","306926","4238428"
"1009","202406","NDA.ENE.007.1813881","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1813881","306760","4237774"
"1009","202406","NDA.ENE.007.1814186","955","0","917","0","0","38","0","Halogenuros","Calle Paseo, 4","Puntos de luz - BELMEZ  - idSig: 1814186","306737","4237921"
"1009","202406","NDA.ENE.007.1814113","955","0","917","0","0","38","0","Halogenuros","Calle Bélmez, 75","Puntos de luz - BELMEZ  - idSig: 1814113","307121","4238235"
"1009","202406","NDA.ENE.007.1814804","955","0","917","0","0","38","0","Halogenuros","Avenida de la Universidad, 14","Puntos de luz - BELMEZ  - idSig: 1814804","306886","4237946"
"1009","202406","NDA.ENE.007.1814551","955","0","917","0","0","38","0","Halogenuros","Calle Real {Doña Rama}, 17","Puntos de luz - BELMEZ  - idSig: 1814551","301024","4232841"
"1009","202406","NDA.ENE.007.1813893","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1813893","306714","4237781"
"1009","202406","NDA.ENE.007.1814048","955","0","917","0","0","38","0","Halogenuros","Calle Vinculo, 74","Puntos de luz - BELMEZ  - idSig: 1814048","306562","4238904"
"1009","202406","NDA.ENE.007.1814689","955","0","917","0","0","38","0","Halogenuros","Calle Sevilla, 12","Puntos de luz - BELMEZ  - idSig: 1814689","300842","4232886"
"1009","202406","NDA.ENE.007.1813983","955","0","917","0","0","38","0","Halogenuros","Calle Aduana, 4","Puntos de luz - BELMEZ  - idSig: 1813983","306739","4238305"
"1009","202406","NDA.ENE.007.1814093","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814093","307507","4238232"
"1009","202406","NDA.ENE.007.1813973","955","0","917","0","0","38","0","Halogenuros","Calle Aduana, 27","Puntos de luz - BELMEZ  - idSig: 1813973","306644","4238134"
"1009","202406","NDA.ENE.007.1814248","955","0","917","0","0","38","0","Halogenuros","Avenida de la Universidad, 15","Puntos de luz - BELMEZ  - idSig: 1814248","306906","4237891"
"1009","202406","NDA.ENE.007.1814332","955","0","917","0","0","38","0","Halogenuros","Calle Córdoba, 94","Puntos de luz - BELMEZ  - idSig: 1814332","307181","4238051"
"1009","202406","NDA.ENE.007.1814353","955","0","917","0","0","38","0","Halogenuros","Calle Trajano, 3","Puntos de luz - BELMEZ  - idSig: 1814353","307027","4238373"
